mae,rmse,maxerr,r2score,rmsce,sharp,ece,nll,Overlap,Method,Size,Run,Split
0.009037507117215885,0.014279092475825768,0.21749434997356332,0.24270987285871892,0.1652035415172577,0.026667571939196215,0.14755766093730927,-3.863250297295898,44.91471888818699,lrt,big,2,Train
0.015537377565305894,0.028845779718700244,0.8080491484431995,0.17388021221498828,0.052104540169239044,0.02907663331366215,0.046170614659786224,-3.1838727427058995,40.240050536955145,lrt,big,0,Train
0.013714865330989562,0.023651235729540282,0.2991614686881974,0.21824474607180877,0.07428235560655594,0.02840693542582034,0.06378835439682007,-3.498427780608292,47.18888186986734,lrt,big,3,Train
0.01049352257689325,0.016368007188973875,0.2981314556176997,0.17242959668786484,0.10123845189809799,0.02641419427418082,0.08874062448740005,-3.6500427887186007,39.481996209728365,lrt,big,1,Train
0.014573337849021763,0.025315046173728574,0.36847642621094145,0.21631513870650498,0.0496659018099308,0.026554856337396026,0.043466754257678986,-3.3178808096261423,39.92419456727732,lrt,big,4,Train
0.0304410978847212,0.0661717366005051,1.2155593951304762,0.3056424172439858,0.23865056037902832,0.11586033351502385,0.21191783249378204,-2.685423878308143,55.33796588755528,lrt,small,0,Train
0.03499338679508706,0.07543192135129584,1.772801990143158,0.29824185111135937,0.2006768435239792,0.10615474595261692,0.17926540970802307,-2.557158306794464,48.95767530006317,lrt,small,1,Train
0.0334042404849346,0.08092645843581989,1.1555112629823758,0.3899402023822581,0.16786518692970276,0.11483443900411208,0.1482817679643631,-2.8025939032729172,54.26405559065066,lrt,small,4,Train
0.02921795274874772,0.08764429462499405,1.2920886881959222,0.42243853185480573,0.11218038946390152,0.12224896519320737,0.09950193762779236,-3.069300623870024,47.37839545167404,lrt,small,2,Train
0.02880503719439097,0.0670673245795365,1.056093805030659,0.2981183167890278,0.15814705193042755,0.10611216558076413,0.1394776701927185,-2.8435037652955506,46.80985470625395,lrt,small,3,Train
0.0181900726263875,0.03134085561625124,1.0660007954901687,0.14576841717344402,0.2804340422153473,0.06600268694536787,0.24979782104492188,-2.9034773610447724,47.75742261528743,fo,big,1,Train
0.013650376722087777,0.024239158273485908,0.8402405920633917,0.24173509110362523,0.1827131062746048,0.05296568576400966,0.1628720462322235,-3.4403175842816456,45.293746051800376,fo,big,4,Train
0.01413370908409639,0.023745135013939305,0.4621122091555492,0.3079676134850331,0.18269824981689453,0.04805260451101672,0.16196051239967346,-3.410145673043825,46.304485154769424,fo,big,2,Train
0.015687326781041323,0.02458818784287816,0.3829070938177459,0.27034567151016686,0.10148733109235764,0.04375558933967937,0.0878823846578598,-3.388925772360201,44.85154769425142,fo,big,3,Train
0.017900909856786888,0.029021917418662616,0.5038460982891806,0.13433490079210042,0.2067854106426239,0.05206858088182534,0.18335247039794922,-3.0944422844288315,42.7037271004422,fo,big,0,Train
0.02768282738158262,0.05734500968688423,0.8292432018382123,0.289627884737098,0.1376960426568985,0.08488695338750792,0.12103748321533203,-2.913213069933396,52.93746051800379,fo,small,4,Train
0.031846157170369746,0.06729637414018201,1.130713669142061,0.3845952821916535,0.24040132761001587,0.09329347175857752,0.2144881635904312,-2.6323468264382495,56.28553379658876,fo,small,1,Train
0.027376414663164924,0.059994557307587376,1.0750406849118237,0.24687828443163373,0.15311628580093384,0.09760205153845718,0.13491526246070862,-2.8986085361854785,50.22109917877448,fo,small,3,Train
0.02625496834815948,0.07333577613786489,1.5444114835035165,0.25437891798409973,0.17879384756088257,0.07575825764339396,0.15921169519424438,-2.975728846647104,50.53695514845231,fo,small,0,Train
0.03252788093593677,0.07293178210690669,1.0496572814479848,0.32244043805956135,0.13074545562267303,0.09593950011681851,0.11499228328466415,-2.8289722449450374,58.11749842072015,fo,small,2,Train
0.016334437094107583,0.030723285341427885,0.6223315605128477,0.3616166488566446,0.17416489124298096,0.020360626838421995,0.15384835004806519,-1.5918599482903433,45.10423246999368,rad,big,4,Train
0.018814871112731554,0.035439857180216014,0.658405379458884,0.32861776475623283,0.18999706208705902,0.021884628570853864,0.16340915858745575,-0.06093314453418822,42.13518635502211,rad,big,3,Train
0.016458748319331414,0.03136226390888367,0.4305444209164939,0.3648409279005518,0.2200804501771927,0.023323285453650346,0.19529224932193756,-0.5765181405055434,43.27226784586229,rad,big,0,Train
0.01618105522510484,0.028054196920350497,0.4746409236967821,0.26061033380669885,0.17473599314689636,0.022092331462054228,0.1549573540687561,-1.7345804324420977,44.59886291850916,rad,big,2,Train
0.016261803102759247,0.02955795755880502,0.4743834407755063,0.41334857152924886,0.1627073884010315,0.02093406745891654,0.14211690425872803,-1.6455421117139393,42.7037271004422,rad,big,1,Train
0.05148233406567621,0.11950719763517989,3.4469601269542345,0.21273995973002136,0.07142625004053116,0.1125264052809161,0.061722684651613235,-2.1292500192611614,47.37839545167404,rad,small,2,Train
0.03896377934094319,0.08510589243772147,1.4278961314735952,0.29926616028414366,0.06177053600549698,0.09163168671723383,0.05397845804691315,-2.5508724697233593,46.87302590018951,rad,small,0,Train
0.03696517934262524,0.07935733885266834,1.5579927665355164,0.24005624665727243,0.04935617372393608,0.09971316414366206,0.04299214854836464,-2.5308795387387155,41.0612760581175,rad,small,4,Train
0.04131637845989655,0.10154046519723388,2.328261263054838,0.2987268641145532,0.05335232615470886,0.09827493823658098,0.040754418820142746,-2.2767202871076595,46.93619709412508,rad,small,1,Train
0.05079386249442755,0.10463995399909426,2.034029477675767,0.1049241384855315,0.09760136902332306,0.04341168048205201,0.08681832253932953,-1.0125549913922796,41.75615919140872,rad,small,3,Train
